"","PercentImperv_1500m","ImpervAreaKm2_1500m","PercentNA_1500m","WaterKm2_1500m","IceSnowKm2_1500m","DevOpenKm2_1500m","DevLowKm2_1500m","DevMedKm2_1500m","DevHighKm2_1500m","BarrenKm2_1500m","DeciduousKm2_1500m","EvergreenKm2_1500m","MixedForKm2_1500m","ShrubKm2_1500m","GrassKm2_1500m","PastureKm2_1500m","CropsKm2_1500m","WoodyWetKm2_1500m","HerbWetKm2_1500m","NLCD_NA_Per_1500m","WaterPer_1500m","IceSnowPer_1500m","DevOpenPer_1500m","DevLowPer_1500m","DevMedPer_1500m","DevHighPer_1500m","BarrenPer_1500m","DeciduousPer_1500m","EvergreenPer_1500m","MixedForPer_1500m","ShrubPer_1500m","GrassPer_1500m","PasturePer_1500m","CropsPer_1500m","WoodyWetPer_1500m","HerbWetPer_1500m","CHLA"
"WoodyWetKm2_1500m",0.132,0.485,0.079,0.496,-0.027,0.525,0.49,0.413,0.4,0.332,0.36,0.362,0.542,0.251,0.082,0.393,0.243,1,0.509,0.074,0.101,-0.031,0.133,0.167,0.1,0.073,0.009,0.127,0.116,0.306,0.016,-0.225,0.045,-0.017,0.751,0.174,0.077
"HerbWetKm2_1500m",0.051,0.399,0.092,0.532,-0.022,0.415,0.378,0.365,0.339,0.342,0.135,0.119,0.175,0.197,0.301,0.372,0.401,0.509,1,0.086,0.191,-0.025,0.02,0.043,0.045,0.027,0.031,-0.127,-0.12,-0.069,-0.017,0.061,0.077,0.136,0.177,0.708,0.145
"NLCD_NA_Per_1500m",-0.002,0.116,1,0.245,-0.002,0.093,0.087,0.122,0.108,0.084,0.049,0.079,0.057,0.176,0.009,0.06,0.04,0.074,0.086,1,0.06,-0.002,-0.03,-0.009,0.005,-0.002,0,-0.022,0.002,-0.009,0.066,-0.043,-0.012,-0.02,-0.011,-0.012,-0.037
"WaterPer_1500m",0.076,0.04,0.061,0.65,0.007,0.05,0.039,0.051,0.043,-0.03,-0.029,-0.122,0.012,-0.224,-0.021,0,0.12,0.101,0.191,0.06,1,0.006,0.119,0.068,0.085,0.079,-0.004,-0.016,-0.144,0.024,-0.27,-0.005,0.017,0.158,0.162,0.374,0.118
"IceSnowPer_1500m",-0.04,-0.027,-0.002,-0.018,0.981,-0.044,-0.028,-0.02,-0.013,0.1,-0.04,0.025,-0.018,0.026,-0.005,-0.034,-0.035,-0.031,-0.025,-0.002,0.006,1,-0.081,-0.035,-0.023,-0.015,0.21,-0.052,0.047,-0.011,0.063,0,-0.047,-0.043,-0.045,-0.039,-0.069
"DevOpenPer_1500m",0.685,0.481,-0.029,0.126,-0.07,0.631,0.508,0.412,0.306,-0.096,0.269,-0.152,0.021,-0.251,-0.12,0.269,0.273,0.133,0.02,-0.03,0.119,-0.081,1,0.68,0.564,0.454,-0.143,0.305,-0.226,-0.018,-0.345,-0.167,0.327,0.296,0.127,-0.035,0.248
"DevLowPer_1500m",0.968,0.69,-0.008,0.085,-0.032,0.488,0.745,0.638,0.464,0.002,0.078,-0.065,0,-0.101,-0.168,0.162,0.112,0.167,0.043,-0.009,0.068,-0.035,0.68,1,0.873,0.731,0.03,0.082,-0.111,-0.047,-0.152,-0.23,0.158,0.095,0.199,0.003,0.145
"DevMedPer_1500m",0.947,0.695,0.006,0.078,-0.021,0.391,0.67,0.742,0.559,0.003,0.007,-0.087,-0.029,-0.099,-0.153,0.052,0.02,0.1,0.045,0.005,0.085,-0.023,0.564,0.873,1,0.889,0.024,0.008,-0.12,-0.067,-0.144,-0.199,0.034,-0.001,0.126,0.03,0.113
"DevHighPer_1500m",0.834,0.635,-0.001,0.059,-0.014,0.312,0.576,0.685,0.649,-0.013,-0.014,-0.084,-0.024,-0.114,-0.134,0.009,-0.011,0.073,0.027,-0.002,0.079,-0.015,0.454,0.731,0.889,1,-0.006,-0.007,-0.115,-0.061,-0.155,-0.171,-0.019,-0.023,0.101,0.021,0.116
"BarrenPer_1500m",0.018,0.021,0.001,0.006,0.188,-0.043,0.02,0.013,0.001,0.667,-0.104,0.135,-0.029,0.141,0.015,-0.052,-0.134,0.009,0.031,0,-0.004,0.21,-0.143,0.03,0.024,-0.006,1,-0.155,0.176,-0.041,0.18,0.023,-0.117,-0.187,-0.009,-0.006,-0.174
"DeciduousPer_1500m",0.042,0.071,-0.021,0.039,-0.044,0.229,0.09,0.047,0.059,-0.068,0.825,-0.007,0.333,-0.309,-0.267,0.25,-0.047,0.127,-0.127,-0.022,-0.016,-0.052,0.305,0.082,0.008,-0.007,-0.155,1,0.024,0.419,-0.392,-0.362,0.29,-0.065,0.169,-0.237,-0.089
"EvergreenPer_1500m",-0.13,-0.026,0.003,-0.034,0.05,-0.031,-0.027,-0.038,-0.015,0.131,0.071,0.837,0.353,0.225,-0.218,-0.103,-0.407,0.116,-0.12,0.002,-0.144,0.047,-0.226,-0.111,-0.12,-0.115,0.176,0.024,1,0.404,0.312,-0.274,-0.248,-0.528,0.109,-0.224,-0.405
"MixedForPer_1500m",-0.085,0.024,-0.008,0.057,-0.005,0.069,0.038,0.017,0.033,0.004,0.354,0.305,0.795,-0.041,-0.261,-0.002,-0.222,0.306,-0.069,-0.009,0.024,-0.011,-0.018,-0.047,-0.067,-0.061,-0.041,0.419,0.404,1,-0.024,-0.37,-0.11,-0.314,0.402,-0.129,-0.194
"ShrubPer_1500m",-0.146,-0.057,0.065,-0.1,0.053,-0.125,-0.069,-0.079,-0.081,0.165,-0.262,0.295,0.022,0.85,-0.011,-0.114,-0.291,0.016,-0.017,0.066,-0.27,0.063,-0.345,-0.152,-0.144,-0.155,0.18,-0.392,0.312,-0.024,1,-0.05,-0.221,-0.373,-0.05,-0.104,-0.236
"GrassPer_1500m",-0.211,-0.137,-0.043,0.008,-0.014,-0.094,-0.148,-0.141,-0.106,0.019,-0.262,-0.185,-0.263,-0.033,0.835,-0.067,0.059,-0.225,0.061,-0.043,-0.005,0,-0.167,-0.23,-0.199,-0.171,0.023,-0.362,-0.274,-0.37,-0.05,1,-0.085,0.097,-0.342,0.088,0.143
"PasturePer_1500m",0.125,0.123,-0.011,0.073,-0.041,0.229,0.153,0.081,0.071,-0.035,0.257,-0.153,-0.009,-0.146,-0.077,0.771,0.296,0.045,0.077,-0.012,0.017,-0.047,0.327,0.158,0.034,-0.019,-0.117,0.29,-0.248,-0.11,-0.221,-0.085,1,0.358,-0.028,0.03,0.209
"CropsPer_1500m",0.066,0.017,-0.019,0.089,-0.037,0.114,0.042,0.009,0.014,-0.11,-0.095,-0.407,-0.219,-0.302,0.051,0.221,0.857,-0.017,0.136,-0.02,0.158,-0.043,0.296,0.095,-0.001,-0.023,-0.187,-0.065,-0.528,-0.314,-0.373,0.097,0.358,1,-0.034,0.206,0.431
"WoodyWetPer_1500m",0.154,0.135,-0.01,0.131,-0.04,0.112,0.166,0.114,0.096,0.006,0.103,0.071,0.3,-0.058,-0.253,0.013,-0.007,0.751,0.177,-0.011,0.162,-0.045,0.127,0.199,0.126,0.101,-0.009,0.169,0.109,0.402,-0.05,-0.342,-0.028,-0.034,1,0.206,0.029
"HerbWetPer_1500m",0.023,0.027,-0.011,0.241,-0.034,-0.013,0.023,0.041,0.02,-0.008,-0.193,-0.185,-0.099,-0.088,0.06,0.017,0.204,0.174,0.708,-0.012,0.374,-0.039,-0.035,0.003,0.03,0.021,-0.006,-0.237,-0.224,-0.129,-0.104,0.088,0.03,0.206,0.206,1,0.189
"CHLA",0.148,0.12,-0.038,0.097,-0.062,0.149,0.135,0.106,0.105,-0.106,-0.07,-0.282,-0.103,-0.169,0.106,0.156,0.366,0.077,0.145,-0.037,0.118,-0.069,0.248,0.145,0.113,0.116,-0.174,-0.089,-0.405,-0.194,-0.236,0.143,0.209,0.431,0.029,0.189,1
