"","PercentImperv_1500m","NLCD_NA_Per_1500m","WaterPer_1500m","IceSnowPer_1500m","DevOpenPer_1500m","DevLowPer_1500m","DevMedPer_1500m","DevHighPer_1500m","BarrenPer_1500m","DeciduousPer_1500m","EvergreenPer_1500m","MixedForPer_1500m","ShrubPer_1500m","GrassPer_1500m","PasturePer_1500m","CropsPer_1500m","WoodyWetPer_1500m","HerbWetPer_1500m","log1p(Data.play[, 158])"
"PercentImperv_1500m",1,-0.006,0.044,-0.043,0.674,0.952,0.965,0.907,0.007,-0.049,-0.166,-0.114,-0.147,-0.212,0.049,0.007,0.092,0.014,0.149
"NLCD_NA_Per_1500m",-0.006,1,0.054,-0.002,-0.027,-0.01,0.004,0.001,0.005,-0.023,-0.003,-0.014,0.087,-0.034,-0.013,-0.023,-0.012,-0.018,-0.034
"WaterPer_1500m",0.044,0.054,1,-0.003,0.078,0.04,0.054,0.065,-0.012,-0.079,-0.156,0.014,-0.249,0.002,-0.004,0.122,0.123,0.337,0.114
"IceSnowPer_1500m",-0.043,-0.002,-0.003,1,-0.08,-0.036,-0.024,-0.017,0.203,-0.048,0.052,-0.016,0.049,0.014,-0.047,-0.041,-0.046,-0.045,-0.075
"DevOpenPer_1500m",0.674,-0.027,0.078,-0.08,1,0.708,0.583,0.53,-0.111,0.203,-0.265,-0.064,-0.314,-0.227,0.234,0.202,0.105,-0.05,0.227
"DevLowPer_1500m",0.952,-0.01,0.04,-0.036,0.708,1,0.886,0.798,0.024,-0.013,-0.155,-0.072,-0.168,-0.244,0.091,0.04,0.141,-0.002,0.152
"DevMedPer_1500m",0.965,0.004,0.054,-0.024,0.583,0.886,1,0.903,0.027,-0.043,-0.147,-0.081,-0.142,-0.207,0.01,-0.027,0.085,0.009,0.113
"DevHighPer_1500m",0.907,0.001,0.065,-0.017,0.53,0.798,0.903,1,0.016,-0.034,-0.133,-0.062,-0.152,-0.182,-0.005,-0.034,0.086,0.013,0.118
"BarrenPer_1500m",0.007,0.005,-0.012,0.203,-0.111,0.024,0.027,0.016,1,-0.134,0.168,-0.044,0.124,-0.012,-0.099,-0.18,-0.015,-0.018,-0.172
"DeciduousPer_1500m",-0.049,-0.023,-0.079,-0.048,0.203,-0.013,-0.043,-0.034,-0.134,1,-0.114,0.332,-0.37,-0.346,0.193,-0.155,0.065,-0.245,-0.127
"EvergreenPer_1500m",-0.166,-0.003,-0.156,0.052,-0.265,-0.155,-0.147,-0.133,0.168,-0.114,1,0.23,0.142,-0.27,-0.273,-0.449,0.004,-0.203,-0.393
"MixedForPer_1500m",-0.114,-0.014,0.014,-0.016,-0.064,-0.072,-0.081,-0.062,-0.044,0.332,0.23,1,-0.108,-0.331,-0.131,-0.293,0.34,-0.107,-0.207
"ShrubPer_1500m",-0.147,0.087,-0.249,0.049,-0.314,-0.168,-0.142,-0.152,0.124,-0.37,0.142,-0.108,1,-0.099,-0.206,-0.327,-0.114,-0.091,-0.204
"GrassPer_1500m",-0.212,-0.034,0.002,0.014,-0.227,-0.244,-0.207,-0.182,-0.012,-0.346,-0.27,-0.331,-0.099,1,-0.144,0.016,-0.304,0.076,0.145
"PasturePer_1500m",0.049,-0.013,-0.004,-0.047,0.234,0.091,0.01,-0.005,-0.099,0.193,-0.273,-0.131,-0.206,-0.144,1,0.244,-0.058,0.003,0.202
"CropsPer_1500m",0.007,-0.023,0.122,-0.041,0.202,0.04,-0.027,-0.034,-0.18,-0.155,-0.449,-0.293,-0.327,0.016,0.244,1,-0.054,0.195,0.426
"WoodyWetPer_1500m",0.092,-0.012,0.123,-0.046,0.105,0.141,0.085,0.086,-0.015,0.065,0.004,0.34,-0.114,-0.304,-0.058,-0.054,1,0.218,0.033
"HerbWetPer_1500m",0.014,-0.018,0.337,-0.045,-0.05,-0.002,0.009,0.013,-0.018,-0.245,-0.203,-0.107,-0.091,0.076,0.003,0.195,0.218,1,0.182
"log1p(Data.play[, 158])",0.149,-0.034,0.114,-0.075,0.227,0.152,0.113,0.118,-0.172,-0.127,-0.393,-0.207,-0.204,0.145,0.202,0.426,0.033,0.182,1
