"","MaxDist","PercentImperv_MaxDist","ImpervAreaKm2_MaxDist","PercentNA_MaxDist","WaterKm2_MaxDist","IceSnowKm2_MaxDist","DevOpenKm2_MaxDist","DevLowKm2_MaxDist","DevMedKm2_MaxDist","DevHighKm2_MaxDist","BarrenKm2_MaxDist","DeciduousKm2_MaxDist","EvergreenKm2_MaxDist","MixedForKm2_MaxDist","ShrubKm2_MaxDist","GrassKm2_MaxDist","PastureKm2_MaxDist","CropsKm2_MaxDist","WoodyWetKm2_MaxDist","HerbWetKm2_MaxDist","NLCD_NA_Per_MaxDist","WaterPer_MaxDist","IceSnowPer_MaxDist","DevOpenPer_MaxDist","DevLowPer_MaxDist","DevMedPer_MaxDist","DevHighPer_MaxDist","BarrenPer_MaxDist","DeciduousPer_MaxDist","EvergreenPer_MaxDist","MixedForPer_MaxDist","ShrubPer_MaxDist","GrassPer_MaxDist","PasturePer_MaxDist","CropsPer_MaxDist","WoodyWetPer_MaxDist","HerbWetPer_MaxDist","CHLA"
"GrassKm2_MaxDist",0.615,-0.023,0.582,0.074,0.622,-0.014,0.652,0.557,0.473,0.405,0.503,0.461,0.423,0.342,0.493,1,0.57,0.545,0.504,0.56,0.071,-0.183,-0.014,0.002,-0.013,-0.012,0.017,0.054,-0.11,-0.094,-0.107,0.078,0.468,0.075,0.117,-0.087,0.044,0.04
"PastureKm2_MaxDist",0.578,0.106,0.826,0.173,0.764,-0.011,0.852,0.812,0.748,0.7,0.548,0.717,0.624,0.684,0.523,0.57,1,0.741,0.762,0.698,0.167,-0.142,-0.011,0.13,0.13,0.097,0.105,0.038,0.103,0.034,0.077,0.045,0.006,0.436,0.191,0.057,0.045,0.093
"CropsKm2_MaxDist",0.559,0.109,0.73,0.164,0.673,-0.011,0.729,0.719,0.713,0.68,0.475,0.502,0.357,0.436,0.345,0.545,0.741,1,0.609,0.719,0.159,-0.095,-0.011,0.146,0.132,0.106,0.115,-0.001,0,-0.12,-0.03,-0.053,0.069,0.256,0.507,0.029,0.15,0.159
"WoodyWetKm2_MaxDist",0.594,0.077,0.747,0.165,0.729,-0.011,0.775,0.736,0.659,0.604,0.537,0.598,0.671,0.703,0.571,0.504,0.762,0.609,1,0.737,0.161,-0.154,-0.011,0.085,0.105,0.08,0.1,0.032,0.038,0.103,0.155,0.086,-0.054,0.177,0.099,0.347,0.089,0.093
"HerbWetKm2_MaxDist",0.609,0.059,0.701,0.181,0.696,-0.01,0.693,0.679,0.657,0.598,0.56,0.454,0.451,0.419,0.487,0.56,0.698,0.719,0.737,1,0.175,-0.119,-0.01,0.044,0.072,0.076,0.09,0.054,-0.043,-0.028,-0.016,0.066,0.051,0.179,0.195,0.108,0.336,0.098
"NLCD_NA_Per_MaxDist",0.135,0.002,0.223,1,0.311,-0.002,0.171,0.19,0.257,0.258,0.162,0.146,0.169,0.179,0.247,0.071,0.167,0.159,0.161,0.175,1,0.017,-0.002,-0.02,-0.001,0.016,0.014,0.003,-0.009,0.008,0.007,0.062,-0.038,0.018,0.009,-0.007,-0.012,-0.039
"WaterPer_MaxDist",-0.262,0.021,-0.158,0.017,0.087,-0.041,-0.174,-0.16,-0.112,-0.081,-0.14,-0.109,-0.227,-0.127,-0.291,-0.183,-0.142,-0.095,-0.154,-0.119,0.017,1,-0.041,0.033,0.01,0.046,0.04,-0.078,0.069,-0.222,-0.014,-0.36,0.016,-0.036,0.092,-0.02,0.043,0.134
"IceSnowPer_MaxDist",0.006,-0.029,-0.011,-0.002,-0.014,1,-0.014,-0.011,-0.008,-0.005,-0.005,-0.014,0.01,-0.009,-0.004,-0.014,-0.011,-0.011,-0.011,-0.01,-0.002,-0.041,1,-0.041,-0.023,-0.015,-0.009,0.036,-0.027,0.056,-0.002,0.041,-0.023,-0.023,-0.021,-0.029,-0.023,-0.049
"DevOpenPer_MaxDist",0.12,0.644,0.196,-0.02,0.085,-0.041,0.292,0.221,0.16,0.111,-0.032,0.159,0.004,0.081,-0.077,0.002,0.13,0.146,0.085,0.044,-0.02,0.033,-0.041,1,0.601,0.411,0.259,-0.148,0.228,-0.159,0.057,-0.229,-0.13,0.224,0.219,0.085,-0.021,0.159
"DevLowPer_MaxDist",0.137,0.933,0.307,-0.001,0.075,-0.023,0.245,0.363,0.271,0.177,0.009,0.08,0.015,0.062,-0.013,-0.013,0.13,0.132,0.105,0.072,-0.001,0.01,-0.023,0.601,1,0.753,0.512,-0.018,0.062,-0.154,-0.06,-0.116,-0.174,0.151,0.113,0.118,0.045,0.123
"DevMedPer_MaxDist",0.114,0.844,0.321,0.017,0.084,-0.015,0.209,0.331,0.343,0.232,0.024,0.051,0.006,0.042,-0.008,-0.012,0.097,0.106,0.08,0.076,0.016,0.046,-0.015,0.411,0.753,1,0.745,-0.01,-0.018,-0.141,-0.087,-0.104,-0.151,0.038,0.027,0.043,0.024,0.095
"DevHighPer_MaxDist",0.12,0.635,0.329,0.015,0.104,-0.009,0.204,0.318,0.357,0.308,0.039,0.064,0.031,0.068,-0.002,0.017,0.105,0.115,0.1,0.09,0.014,0.04,-0.009,0.259,0.512,0.745,1,-0.018,-0.031,-0.09,-0.047,-0.088,-0.102,-0.001,0.008,0.055,0.046,0.104
"BarrenPer_MaxDist",0.065,-0.029,0.045,0.004,0.052,0.036,0.023,0.035,0.034,0.021,0.328,-0.001,0.1,0.013,0.127,0.054,0.038,-0.001,0.032,0.054,0.003,-0.078,0.036,-0.148,-0.018,-0.01,-0.018,1,-0.168,0.115,-0.082,0.151,0.032,-0.049,-0.075,-0.052,-0.01,-0.143
"DeciduousPer_MaxDist",-0.099,0.003,0.043,-0.008,0.066,-0.027,0.115,0.053,0.037,0.051,-0.028,0.437,0.011,0.189,-0.167,-0.11,0.103,0,0.038,-0.043,-0.009,0.069,-0.027,0.228,0.062,-0.018,-0.031,-0.168,1,-0.034,0.353,-0.393,-0.295,0.214,-0.061,0.07,-0.175,-0.043
"EvergreenPer_MaxDist",0.06,-0.164,0.041,0.009,0.027,0.056,0.055,0.031,0.022,0.025,0.054,0.079,0.469,0.22,0.127,-0.094,0.034,-0.12,0.103,-0.028,0.008,-0.222,0.056,-0.159,-0.154,-0.141,-0.09,0.115,-0.034,1,0.349,0.221,-0.303,-0.198,-0.398,0.059,-0.219,-0.396
"MixedForPer_MaxDist",0.024,-0.099,0.063,0.008,0.049,-0.002,0.092,0.07,0.05,0.051,0.009,0.205,0.182,0.439,-0.016,-0.107,0.077,-0.03,0.155,-0.016,0.007,-0.014,-0.002,0.057,-0.06,-0.087,-0.047,-0.082,0.353,0.349,1,-0.088,-0.355,-0.09,-0.198,0.335,-0.124,-0.172
"ShrubPer_MaxDist",0.206,-0.086,0.058,0.061,0.046,0.041,0.042,0.043,0.023,-0.003,0.136,-0.065,0.214,0.057,0.56,0.078,0.045,-0.053,0.086,0.066,0.062,-0.36,0.041,-0.229,-0.116,-0.104,-0.088,0.151,-0.393,0.221,-0.088,1,-0.013,-0.138,-0.222,-0.11,-0.065,-0.204
"GrassPer_MaxDist",0.119,-0.155,-0.009,-0.038,0.052,-0.023,0.02,-0.016,-0.028,-0.023,0.014,-0.059,-0.083,-0.108,0.005,0.468,0.006,0.069,-0.054,0.051,-0.038,0.016,-0.023,-0.13,-0.174,-0.151,-0.102,0.032,-0.295,-0.303,-0.355,-0.013,1,-0.053,0.116,-0.304,0.088,0.168
"PasturePer_MaxDist",0.154,0.106,0.218,0.019,0.187,-0.023,0.248,0.231,0.19,0.171,0.09,0.23,0.082,0.159,0.058,0.075,0.436,0.256,0.177,0.179,0.018,-0.036,-0.023,0.224,0.151,0.038,-0.001,-0.049,0.214,-0.198,-0.09,-0.138,-0.053,1,0.315,-0.083,0.077,0.198
"CropsPer_MaxDist",0.179,0.08,0.145,0.01,0.143,-0.021,0.171,0.156,0.146,0.14,0.035,0.052,-0.094,0.004,-0.068,0.117,0.191,0.507,0.099,0.195,0.009,0.092,-0.021,0.219,0.113,0.027,0.008,-0.075,-0.061,-0.398,-0.198,-0.222,0.116,0.315,1,0.005,0.259,0.343
"WoodyWetPer_MaxDist",0.023,0.072,0.07,-0.006,0.03,-0.029,0.06,0.082,0.06,0.06,0.002,0.015,0.052,0.147,-0.021,-0.087,0.057,0.029,0.347,0.108,-0.007,-0.02,-0.029,0.085,0.118,0.043,0.055,-0.052,0.07,0.059,0.335,-0.11,-0.304,-0.083,0.005,1,0.184,0.052
"HerbWetPer_MaxDist",0.144,0.046,0.035,-0.012,0.056,-0.023,0.017,0.039,0.04,0.029,-0.002,-0.071,-0.087,-0.054,-0.033,0.044,0.045,0.15,0.089,0.336,-0.012,0.043,-0.023,-0.021,0.045,0.024,0.046,-0.01,-0.175,-0.219,-0.124,-0.065,0.088,0.077,0.259,0.184,1,0.213
"CHLA",-0.022,0.117,0.077,-0.039,0.066,-0.049,0.083,0.09,0.073,0.077,-0.038,0.007,-0.105,0.004,-0.08,0.04,0.093,0.159,0.093,0.098,-0.039,0.134,-0.049,0.159,0.123,0.095,0.104,-0.143,-0.043,-0.396,-0.172,-0.204,0.168,0.198,0.343,0.052,0.213,1
