"","ImpervAreaKm2_1500m","WaterKm2_1500m","IceSnowKm2_1500m","DevOpenKm2_1500m","DevLowKm2_1500m","DevMedKm2_1500m","DevHighKm2_1500m","BarrenKm2_1500m","DeciduousKm2_1500m","EvergreenKm2_1500m","MixedForKm2_1500m","ShrubKm2_1500m","GrassKm2_1500m","PastureKm2_1500m","CropsKm2_1500m","WoodyWetKm2_1500m","HerbWetKm2_1500m","CHLA"
"ImpervAreaKm2_1500m",1,0.502,-0.024,0.833,0.978,0.954,0.852,0.343,0.379,0.285,0.359,0.222,0.188,0.501,0.31,0.485,0.399,0.12
"WaterKm2_1500m",0.502,1,-0.015,0.584,0.473,0.443,0.429,0.359,0.373,0.292,0.375,0.197,0.319,0.445,0.361,0.496,0.532,0.097
"IceSnowKm2_1500m",-0.024,-0.015,1,-0.038,-0.024,-0.017,-0.012,0.092,-0.035,0.03,-0.015,0.021,-0.013,-0.03,-0.03,-0.027,-0.022,-0.062
"DevOpenKm2_1500m",0.833,0.584,-0.038,1,0.832,0.709,0.631,0.331,0.584,0.327,0.44,0.196,0.274,0.628,0.427,0.525,0.415,0.149
"DevLowKm2_1500m",0.978,0.473,-0.024,0.832,1,0.902,0.779,0.304,0.379,0.266,0.352,0.19,0.159,0.506,0.318,0.49,0.378,0.135
"DevMedKm2_1500m",0.954,0.443,-0.017,0.709,0.902,1,0.908,0.303,0.31,0.222,0.311,0.153,0.129,0.415,0.279,0.413,0.365,0.106
"DevHighKm2_1500m",0.852,0.429,-0.012,0.631,0.779,0.908,1,0.305,0.323,0.243,0.339,0.138,0.149,0.412,0.286,0.4,0.339,0.105
"BarrenKm2_1500m",0.343,0.359,0.092,0.331,0.304,0.303,0.305,1,0.196,0.343,0.256,0.389,0.279,0.282,0.134,0.332,0.342,-0.106
"DeciduousKm2_1500m",0.379,0.373,-0.035,0.584,0.379,0.31,0.323,0.196,1,0.275,0.557,-0.024,0.027,0.523,0.129,0.36,0.135,-0.07
"EvergreenKm2_1500m",0.285,0.292,0.03,0.327,0.266,0.222,0.243,0.343,0.275,1,0.546,0.435,0.057,0.212,-0.155,0.362,0.119,-0.282
"MixedForKm2_1500m",0.359,0.375,-0.015,0.44,0.352,0.311,0.339,0.256,0.557,0.546,1,0.21,0.012,0.35,0.032,0.542,0.175,-0.103
"ShrubKm2_1500m",0.222,0.197,0.021,0.196,0.19,0.153,0.138,0.389,-0.024,0.435,0.21,1,0.195,0.146,-0.092,0.251,0.197,-0.169
"GrassKm2_1500m",0.188,0.319,-0.013,0.274,0.159,0.129,0.149,0.279,0.027,0.057,0.012,0.195,1,0.199,0.215,0.082,0.301,0.106
"PastureKm2_1500m",0.501,0.445,-0.03,0.628,0.506,0.415,0.412,0.282,0.523,0.212,0.35,0.146,0.199,1,0.441,0.393,0.372,0.156
"CropsKm2_1500m",0.31,0.361,-0.03,0.427,0.318,0.279,0.286,0.134,0.129,-0.155,0.032,-0.092,0.215,0.441,1,0.243,0.401,0.366
"WoodyWetKm2_1500m",0.485,0.496,-0.027,0.525,0.49,0.413,0.4,0.332,0.36,0.362,0.542,0.251,0.082,0.393,0.243,1,0.509,0.077
"HerbWetKm2_1500m",0.399,0.532,-0.022,0.415,0.378,0.365,0.339,0.342,0.135,0.119,0.175,0.197,0.301,0.372,0.401,0.509,1,0.145
"CHLA",0.12,0.097,-0.062,0.149,0.135,0.106,0.105,-0.106,-0.07,-0.282,-0.103,-0.169,0.106,0.156,0.366,0.077,0.145,1
