"","PercentImperv_3000m","ImpervAreaKm2_3000m","PercentNA_3000m","WaterKm2_3000m","IceSnowKm2_3000m","DevOpenKm2_3000m","DevLowKm2_3000m","DevMedKm2_3000m","DevHighKm2_3000m","BarrenKm2_3000m","DeciduousKm2_3000m","EvergreenKm2_3000m","MixedForKm2_3000m","ShrubKm2_3000m","GrassKm2_3000m","PastureKm2_3000m","CropsKm2_3000m","WoodyWetKm2_3000m","HerbWetKm2_3000m","NLCD_NA_Per_3000m","WaterPer_3000m","IceSnowPer_3000m","DevOpenPer_3000m","DevLowPer_3000m","DevMedPer_3000m","DevHighPer_3000m","BarrenPer_3000m","DeciduousPer_3000m","EvergreenPer_3000m","MixedForPer_3000m","ShrubPer_3000m","GrassPer_3000m","PasturePer_3000m","CropsPer_3000m","WoodyWetPer_3000m","HerbWetPer_3000m","CHLA"
"PercentImperv_3000m",1,0.838,-0.019,0.094,-0.058,0.591,0.839,0.824,0.7,0.029,0.079,-0.11,-0.034,-0.136,-0.193,0.168,0.097,0.161,0.033,-0.019,0.079,-0.059,0.719,0.974,0.961,0.864,0.044,0.076,-0.143,-0.063,-0.173,-0.231,0.17,0.084,0.169,0.01,0.153
"ImpervAreaKm2_3000m",0.838,1,0.074,0.335,-0.047,0.817,0.98,0.961,0.869,0.259,0.279,0.131,0.216,0.098,0.041,0.401,0.221,0.379,0.253,0.071,0.033,-0.049,0.597,0.814,0.807,0.734,0.033,0.092,-0.067,0.006,-0.095,-0.179,0.175,0.042,0.156,0.001,0.136
"PercentNA_3000m",-0.019,0.074,1,0.166,0.378,0.044,0.051,0.079,0.075,0.123,0.011,0.092,0.043,0.149,-0.012,0.027,0.01,0.041,0.05,1,0.053,0.386,-0.062,-0.026,-0.009,-0.011,0.075,-0.043,0.042,-0.002,0.088,-0.055,-0.031,-0.036,-0.027,-0.028,-0.07
"WaterKm2_3000m",0.094,0.335,0.166,1,-0.016,0.393,0.313,0.306,0.293,0.216,0.193,0.119,0.25,0.011,0.155,0.258,0.247,0.395,0.514,0.164,0.819,-0.018,0.123,0.089,0.093,0.08,-0.005,0.022,-0.059,0.082,-0.17,-0.024,0.052,0.095,0.204,0.37,0.097
"IceSnowKm2_3000m",-0.058,-0.047,0.378,-0.016,1,-0.081,-0.046,-0.033,-0.024,0.236,-0.058,0.065,-0.016,0.052,-0.013,-0.061,-0.059,-0.046,-0.043,0.376,0.002,0.99,-0.112,-0.054,-0.036,-0.026,0.301,-0.061,0.085,-0.006,0.07,-0.009,-0.071,-0.063,-0.051,-0.052,-0.093
"DevOpenKm2_3000m",0.591,0.817,0.044,0.393,-0.081,1,0.811,0.713,0.626,0.192,0.494,0.117,0.285,0.013,0.114,0.562,0.388,0.411,0.265,0.042,0.036,-0.084,0.777,0.591,0.504,0.42,-0.085,0.282,-0.118,0.047,-0.219,-0.139,0.324,0.197,0.144,-0.029,0.2
"DevLowKm2_3000m",0.839,0.98,0.051,0.313,-0.046,0.811,1,0.914,0.803,0.241,0.286,0.125,0.224,0.079,0.012,0.416,0.235,0.398,0.232,0.048,0.029,-0.048,0.612,0.857,0.775,0.675,0.04,0.111,-0.061,0.027,-0.1,-0.196,0.206,0.067,0.194,-0.008,0.144
"DevMedKm2_3000m",0.824,0.961,0.079,0.306,-0.033,0.713,0.914,1,0.919,0.234,0.227,0.097,0.192,0.051,0.005,0.313,0.174,0.316,0.23,0.076,0.054,-0.034,0.534,0.768,0.857,0.786,0.036,0.067,-0.07,0.008,-0.11,-0.177,0.115,0.013,0.127,0.014,0.12
"DevHighKm2_3000m",0.7,0.869,0.075,0.293,-0.024,0.626,0.803,0.919,1,0.228,0.22,0.104,0.209,0.031,0.029,0.281,0.166,0.291,0.212,0.071,0.05,-0.024,0.433,0.629,0.728,0.809,0.023,0.062,-0.062,0.016,-0.124,-0.143,0.08,0.006,0.101,0.002,0.12
"BarrenKm2_3000m",0.029,0.259,0.123,0.216,0.236,0.192,0.241,0.234,0.228,1,0.073,0.319,0.165,0.314,0.174,0.123,-0.017,0.197,0.19,0.12,-0.03,0.236,-0.106,0.037,0.037,0.027,0.815,-0.084,0.198,0.013,0.173,0.009,-0.085,-0.174,-0.01,-0.04,-0.154
