"","PercentImperv_3000m","ImpervAreaKm2_3000m","PercentNA_3000m","WaterKm2_3000m","IceSnowKm2_3000m","DevOpenKm2_3000m","DevLowKm2_3000m","DevMedKm2_3000m","DevHighKm2_3000m","BarrenKm2_3000m","DeciduousKm2_3000m","EvergreenKm2_3000m","MixedForKm2_3000m","ShrubKm2_3000m","GrassKm2_3000m","PastureKm2_3000m","CropsKm2_3000m","WoodyWetKm2_3000m","HerbWetKm2_3000m","NLCD_NA_Per_3000m","WaterPer_3000m","IceSnowPer_3000m","DevOpenPer_3000m","DevLowPer_3000m","DevMedPer_3000m","DevHighPer_3000m","BarrenPer_3000m","DeciduousPer_3000m","EvergreenPer_3000m","MixedForPer_3000m","ShrubPer_3000m","GrassPer_3000m","PasturePer_3000m","CropsPer_3000m","WoodyWetPer_3000m","HerbWetPer_3000m","CHLA"
"DeciduousKm2_3000m",0.079,0.279,0.011,0.193,-0.058,0.494,0.286,0.227,0.22,0.073,1,0.184,0.525,-0.16,-0.149,0.464,0.04,0.319,-0.018,0.01,-0.042,-0.058,0.316,0.106,0.039,0.012,-0.12,0.92,0.068,0.416,-0.313,-0.331,0.322,-0.083,0.181,-0.219,-0.088
"EvergreenKm2_3000m",-0.11,0.131,0.092,0.119,0.065,0.117,0.125,0.097,0.104,0.319,0.184,1,0.508,0.443,-0.053,0.029,-0.354,0.286,0.003,0.088,-0.132,0.062,-0.205,-0.091,-0.109,-0.115,0.181,0.027,0.922,0.379,0.357,-0.211,-0.201,-0.509,0.122,-0.19,-0.344
"MixedForKm2_3000m",-0.034,0.216,0.043,0.25,-0.016,0.285,0.224,0.192,0.209,0.165,0.525,0.508,1,0.144,-0.138,0.183,-0.131,0.522,0.075,0.04,0.03,-0.019,0.015,-0.002,-0.033,-0.035,-0.029,0.4,0.4,0.898,0.022,-0.317,-0.035,-0.281,0.384,-0.099,-0.14
"ShrubKm2_3000m",-0.136,0.098,0.149,0.011,0.052,0.013,0.079,0.051,0.031,0.314,-0.16,0.443,0.144,1,0.121,0.01,-0.232,0.148,0.079,0.148,-0.264,0.047,-0.322,-0.133,-0.132,-0.149,0.13,-0.336,0.318,-0.01,0.924,-0.033,-0.188,-0.37,-0.05,-0.121,-0.211
"GrassKm2_3000m",-0.193,0.041,-0.012,0.155,-0.013,0.114,0.012,0.005,0.029,0.174,-0.149,-0.053,-0.138,0.121,1,0.075,0.168,-0.095,0.206,-0.013,-0.061,-0.009,-0.157,-0.209,-0.185,-0.158,-0.004,-0.324,-0.219,-0.311,-0.01,0.915,-0.093,0.066,-0.309,0.047,0.11
"PastureKm2_3000m",0.168,0.401,0.027,0.258,-0.061,0.562,0.416,0.313,0.281,0.123,0.464,0.029,0.183,0.01,0.075,1,0.399,0.252,0.241,0.023,-0.023,-0.062,0.343,0.198,0.082,0.026,-0.12,0.307,-0.172,-0.037,-0.173,-0.102,0.887,0.27,0.021,0.005,0.177
"CropsKm2_3000m",0.097,0.221,0.01,0.247,-0.059,0.388,0.235,0.174,0.166,-0.017,0.04,-0.354,-0.131,-0.232,0.168,0.399,1,0.111,0.303,0.007,0.104,-0.06,0.314,0.12,0.032,0.002,-0.196,-0.051,-0.507,-0.283,-0.362,0.077,0.336,0.934,-0.032,0.173,0.408
"WoodyWetKm2_3000m",0.161,0.379,0.041,0.395,-0.046,0.411,0.398,0.316,0.291,0.197,0.319,0.286,0.522,0.148,-0.095,0.252,0.111,1,0.405,0.038,0.16,-0.047,0.164,0.202,0.122,0.091,-0.024,0.193,0.153,0.398,0.002,-0.294,0.046,-0.043,0.877,0.197,0.048
"HerbWetKm2_3000m",0.033,0.253,0.05,0.514,-0.043,0.265,0.232,0.23,0.212,0.19,-0.018,0.003,0.075,0.079,0.206,0.241,0.303,0.405,1,0.046,0.317,-0.044,0.004,0.021,0.031,0.013,-0.019,-0.175,-0.141,-0.074,-0.06,0.063,0.065,0.149,0.215,0.842,0.167
"NLCD_NA_Per_3000m",-0.019,0.071,1,0.164,0.376,0.042,0.048,0.076,0.071,0.12,0.01,0.088,0.04,0.148,-0.013,0.023,0.007,0.038,0.046,1,0.053,0.383,-0.062,-0.026,-0.009,-0.012,0.074,-0.043,0.041,-0.003,0.089,-0.055,-0.032,-0.037,-0.028,-0.029,-0.069
"WaterPer_3000m",0.079,0.033,0.053,0.819,0.002,0.036,0.029,0.054,0.05,-0.03,-0.042,-0.132,0.03,-0.264,-0.061,-0.023,0.104,0.16,0.317,0.053,1,0.002,0.105,0.071,0.092,0.09,0.001,-0.015,-0.127,0.059,-0.276,-0.036,0.005,0.13,0.219,0.451,0.099
"IceSnowPer_3000m",-0.059,-0.049,0.386,-0.018,0.99,-0.084,-0.048,-0.034,-0.024,0.236,-0.058,0.062,-0.019,0.047,-0.009,-0.062,-0.06,-0.047,-0.044,0.383,0.002,1,-0.115,-0.055,-0.037,-0.026,0.307,-0.06,0.084,-0.01,0.067,-0.002,-0.072,-0.064,-0.05,-0.052,-0.094
"DevOpenPer_3000m",0.719,0.597,-0.062,0.123,-0.112,0.777,0.612,0.534,0.433,-0.106,0.316,-0.205,0.015,-0.322,-0.157,0.343,0.314,0.164,0.004,-0.062,0.105,-0.115,1,0.713,0.62,0.52,-0.127,0.332,-0.253,-0.012,-0.384,-0.193,0.383,0.325,0.158,-0.028,0.263
"DevLowPer_3000m",0.974,0.814,-0.026,0.089,-0.054,0.591,0.857,0.768,0.629,0.037,0.106,-0.091,-0.002,-0.133,-0.209,0.198,0.12,0.202,0.021,-0.026,0.071,-0.055,0.713,1,0.897,0.774,0.056,0.104,-0.121,-0.028,-0.167,-0.251,0.201,0.106,0.215,-0.008,0.149
"DevMedPer_3000m",0.961,0.807,-0.009,0.093,-0.036,0.504,0.775,0.857,0.728,0.037,0.039,-0.109,-0.033,-0.132,-0.185,0.082,0.032,0.122,0.031,-0.009,0.092,-0.037,0.62,0.897,1,0.907,0.055,0.039,-0.132,-0.051,-0.161,-0.214,0.078,0.02,0.132,0.016,0.121
"DevHighPer_3000m",0.864,0.734,-0.011,0.08,-0.026,0.42,0.675,0.786,0.809,0.027,0.012,-0.115,-0.035,-0.149,-0.158,0.026,0.002,0.091,0.013,-0.012,0.09,-0.026,0.52,0.774,0.907,1,0.041,0.016,-0.136,-0.054,-0.176,-0.18,0.019,-0.007,0.103,0.007,0.119
"BarrenPer_3000m",0.044,0.033,0.075,-0.005,0.301,-0.085,0.04,0.036,0.023,0.815,-0.12,0.181,-0.029,0.13,-0.004,-0.12,-0.196,-0.024,-0.019,0.074,0.001,0.307,-0.127,0.056,0.055,0.041,1,-0.131,0.22,-0.019,0.153,0.009,-0.154,-0.22,-0.026,-0.036,-0.197
"DeciduousPer_3000m",0.076,0.092,-0.043,0.022,-0.061,0.282,0.111,0.067,0.062,-0.084,0.92,0.027,0.4,-0.336,-0.324,0.307,-0.051,0.193,-0.175,-0.043,-0.015,-0.06,0.332,0.104,0.039,0.016,-0.131,1,0.037,0.441,-0.39,-0.385,0.326,-0.062,0.216,-0.234,-0.102
"EvergreenPer_3000m",-0.143,-0.067,0.042,-0.059,0.085,-0.118,-0.061,-0.07,-0.062,0.198,0.068,0.922,0.4,0.318,-0.219,-0.172,-0.507,0.153,-0.141,0.041,-0.127,0.084,-0.253,-0.121,-0.132,-0.136,0.22,0.037,1,0.423,0.359,-0.258,-0.269,-0.575,0.145,-0.2,-0.416
"MixedForPer_3000m",-0.063,0.006,-0.002,0.082,-0.006,0.047,0.027,0.008,0.016,0.013,0.416,0.379,0.898,-0.01,-0.311,-0.037,-0.283,0.398,-0.074,-0.003,0.059,-0.01,-0.012,-0.028,-0.051,-0.054,-0.019,0.441,0.423,1,-0.008,-0.377,-0.107,-0.333,0.442,-0.102,-0.197
"ShrubPer_3000m",-0.173,-0.095,0.088,-0.17,0.07,-0.219,-0.1,-0.11,-0.124,0.173,-0.313,0.357,0.022,0.924,-0.01,-0.173,-0.362,0.002,-0.06,0.089,-0.276,0.067,-0.384,-0.167,-0.161,-0.176,0.153,-0.39,0.359,-0.008,1,-0.043,-0.25,-0.412,-0.048,-0.124,-0.255
"GrassPer_3000m",-0.231,-0.179,-0.055,-0.024,-0.009,-0.139,-0.196,-0.177,-0.143,0.009,-0.331,-0.211,-0.317,-0.033,0.915,-0.102,0.077,-0.294,0.063,-0.055,-0.036,-0.002,-0.193,-0.251,-0.214,-0.18,0.009,-0.385,-0.258,-0.377,-0.043,1,-0.116,0.092,-0.359,0.071,0.125
"PasturePer_3000m",0.17,0.175,-0.031,0.052,-0.071,0.324,0.206,0.115,0.08,-0.085,0.322,-0.201,-0.035,-0.188,-0.093,0.887,0.336,0.046,0.065,-0.032,0.005,-0.072,0.383,0.201,0.078,0.019,-0.154,0.326,-0.269,-0.107,-0.25,-0.116,1,0.354,-0.003,0.017,0.206
"CropsPer_3000m",0.084,0.042,-0.036,0.095,-0.063,0.197,0.067,0.013,0.006,-0.174,-0.083,-0.509,-0.281,-0.37,0.066,0.27,0.934,-0.043,0.149,-0.037,0.13,-0.064,0.325,0.106,0.02,-0.007,-0.22,-0.062,-0.575,-0.333,-0.412,0.092,0.354,1,-0.05,0.175,0.438
"WoodyWetPer_3000m",0.169,0.156,-0.027,0.204,-0.051,0.144,0.194,0.127,0.101,-0.01,0.181,0.122,0.384,-0.05,-0.309,0.021,-0.032,0.877,0.215,-0.028,0.219,-0.05,0.158,0.215,0.132,0.103,-0.026,0.216,0.145,0.442,-0.048,-0.359,-0.003,-0.05,1,0.226,0.015
"HerbWetPer_3000m",0.01,0.001,-0.028,0.37,-0.052,-0.029,-0.008,0.014,0.002,-0.04,-0.219,-0.19,-0.099,-0.121,0.047,0.005,0.173,0.197,0.842,-0.029,0.451,-0.052,-0.028,-0.008,0.016,0.007,-0.036,-0.234,-0.2,-0.102,-0.124,0.071,0.017,0.175,0.226,1,0.18
"CHLA",0.153,0.136,-0.07,0.097,-0.093,0.2,0.144,0.12,0.12,-0.154,-0.088,-0.344,-0.14,-0.211,0.11,0.177,0.408,0.048,0.167,-0.069,0.099,-0.094,0.263,0.149,0.121,0.119,-0.197,-0.102,-0.416,-0.197,-0.255,0.125,0.206,0.438,0.015,0.18,1
