"SITE_ID","NTL","PTL","CHLA","WSA_ECO9","Year"
"NLA06608-0185",284,9,3.128,"NAP",2007
"NLA06608-0189",871,77,32.256,"SAP",2007
"NLA06608-0190",666,16,5.168,"UMW",2007
"NLA06608-0191",48,1,1.129,"SAP",2007
"NLA06608-0193",71,3,0.302,"WMT",2007
"NLA06608-0195",1955,447,15.552,"NPL",2007
"NLA06608-0196",1250,94,31.4,"TPL",2007
"NLA06608-0198",353,25,10.672,"CPL",2007
"NLA06608-0201",40,3,0.797,"WMT",2007
"NLA06608-0203",239,1,0.772,"SAP",2007
"NLA06608-0204",1355,125,68.85,"SPL",2007
"NLA06608-0207",384,14,6.518,"SAP",2007
"NLA06608-0208",1687,162,65.6,"CPL",2007
"NLA06608-0209",205,4,2.408,"WMT",2007
"NLA06608-0211",1340,42,9.067,"UMW",2007
"NLA06608-0212",88,8,4.36,"SAP",2007
"NLA06608-0215",1463,83,58.464,"UMW",2007
"NLA06608-0216",1367,619,19.2,"TPL",2007
"NLA06608-0217",508,6,17.6,"SAP",2007
"NLA06608-0219",1826,36,55.584,"UMW",2007
"NLA06608-0220",22613,872,871.2,"SPL",2007
"NLA06608-0221",594,38,31.68,"CPL",2007
"NLA06608-0222",2008,114,38.736,"NPL",2007
"NLA06608-0223",569,45,21.92,"SAP",2007
"NLA06608-0224",283,14,1.883,"SAP",2007
"NLA06608-0225",130,4,0.876,"NPL",2007
"NLA06608-0226",328,8,5.888,"NAP",2007
"NLA06608-0228",408,25,1.429,"SPL",2007
"NLA06608-0229",219,4,3.6,"NAP",2007
"NLA06608-0234",584,14,4.776,"UMW",2007
"NLA06608-0235",626,8,7.8,"UMW",2007
"NLA06608-0237",678,23,1.858,"XER",2007
"NLA06608-0327",281,13,56.736,"CPL",2007
"NLA06608-0328",1093,82,117.504,"CPL",2007
"NLA06608-0330",289,13,1.104,"UMW",2007
"NLA06608-0332",260,11,6.444,"SAP",2007
"NLA06608-0333",282,15,5.04,"SAP",2007
"NLA06608-0334",1834,142,5.88,"TPL",2007
"NLA06608-0337",586,23,7.84,"WMT",2007
"NLA06608-0247",1625,202,55.8,"TPL",2007
"NLA06608-0253",968,127,32.544,"CPL",2007
"NLA06608-0254",2816,175,49.6,"TPL",2007
"NLA06608-0255",276,4,2.438,"SAP",2007
"NLA06608-0257",79,1,1.147,"WMT",2007
"NLA06608-0259",3172,613,48.24,"NPL",2007
"NLA06608-0260",136,8,1.273,"WMT",2007
"NLA06608-0268",464,20,7.7,"SPL",2007
"NLA06608-0271",857,99,30.04,"TPL",2007
"NLA06608-0275",3084,331,6.72,"NPL",2007
"NLA06608-0276",254,7,1.978,"WMT",2007
"NLA06608-0277",451,117,12.928,"XER",2007
"NLA06608-0279",4600,239,126.267,"TPL",2007
"NLA06608-0280",1229,81,20.952,"CPL",2007
"NLA06608-0281",639,44,25.097,"SAP",2007
"NLA06608-0283",381,33,9.86,"CPL",2007
"NLA06608-0284",865,79,20.8,"SPL",2007
"NLA06608-0285",4222,138,35.28,"CPL",2007
"NLA06608-0286",413,5,2.224,"UMW",2007
"NLA06608-0290",273,178,4.304,"WMT",2007
"NLA06608-0291",553,13,3.624,"TPL",2007
"NLA06608-0293",759,30,21.888,"NAP",2007
"NLA06608-0294",343,1,2.336,"NAP",2007
"NLA06608-0295",2026,242,5.733,"TPL",2007
"NLA06608-0297",587,31,14.133,"CPL",2007
"NLA06608-0299",915,18,3.776,"UMW",2007
"NLA06608-0302",6934,1871,203.76,"TPL",2007
"NLA06608-0303",1523,79,84.24,"TPL",2007
"NLA06608-0306",1525,271,38.733,"XER",2007
"NLA06608-1147",1414,775,42.24,"SPL",2007
"NLA06608-1148",6934,242,48,"SPL",2007
"NLA06608-1150",500,11,3.792,"UMW",2007
"NLA06608-1151",648,129,13.716,"WMT",2007
"NLA06608-1153",224,3,0.254,"WMT",2007
"NLA06608-1155",3069,122,28.68,"NPL",2007
"NLA06608-0312",355,35,19.2,"TPL",2007
"NLA06608-0313",279,24,15.08,"CPL",2007
"NLA06608-0318",847,43,13.888,"UMW",2007
"NLA06608-0319",251,16,4.48,"SAP",2007
"NLA06608-0324",248,21,4.816,"SAP",2007
"NLA06608-0325",814,50,46,"CPL",2007
"NLA06608-0326",225,5,1.262,"NAP",2007
"NLA06608-0345",511,22,6.048,"SAP",2007
"NLA06608-0350",902,18,17.44,"UMW",2007
"NLA06608-0354",188,5,2.088,"NAP",2007
"NLA06608-0356",2897,167,110.7,"SPL",2007
"NLA06608-0357",276,14,5.616,"NAP",2007
"NLA06608-0491",665,16,7.2,"UMW",2007
"NLA06608-0493",353,15,9.472,"SAP",2007
"NLA06608-0494",401,4,24.64,"UMW",2007
"NLA06608-0495",136,11,1.774,"WMT",2007
"NLA06608-0496",4372,620,0.694,"NPL",2007
"NLA06608-0497",156,17,0.858,"XER",2007
"NLA06608-0498",820,44,26.424,"NAP",2007
"NLA06608-0500",266,21,13.12,"SAP",2007
"NLA06608-0606",708,15,5.824,"UMW",2007
"NLA06608-0707",4034,127,5.6,"NPL",2007
"NLA06608-0648",8603,349,78.286,"SPL",2007
"NLA06608-0649",95,9,3.64,"WMT",2007
"NLA06608-0650",466,23,6.896,"WMT",2007
"NLA06608-0651",290,12,12.96,"SAP",2007
"NLA06608-0654",698,22,9.152,"UMW",2007
"NLA06608-0657",559,20,12.48,"NAP",2007
"NLA06608-0658",110,5,1.116,"WMT",2007
"NLA06608-0820",2841,323,120.8,"SAP",2007
"NLA06608-0823",331,7,2.084,"UMW",2007
"NLA06608-0824",309,22,6.229,"TPL",2007
"NLA06608-0825",1001,88,39.696,"XER",2007
"NLA06608-0827",543,23,11.6,"SPL",2007
"NLA06608-0828",1510,114,68.4,"CPL",2007
"NLA06608-0830",15563,1617,272,"NPL",2007
"NLA06608-0831",44,4,1.304,"SAP",2007
"NLA06608-0833",104,1,0.792,"WMT",2007
"NLA06608-0834",583,23,8.053,"WMT",2007
"NLA06608-0836",1184,51,2.695,"XER",2007
"NLA06608-0837",1460,109,55.584,"XER",2007
